"","V1","V1","precinct","date","description","latitude","longitude"
"101",720054,5198329,49,2016-03-31,"FELONY ASSAULT",40.85557,-73.86666
"102",644946,5262437,47,2016-05-18,"BURGLARY",40.8934,-73.85251
"103",780599,4133513,108,2014-01-15,"BURGLARY",40.74308,-73.95474
"104",998685,133917,75,2006-04-07,"GRAND LARCENY",40.67694071,-73.89997499
"105",284477,2913110,75,2011-08-06,"DANGEROUS DRUGS",40.66135,-73.88839
"106",482064,5798251,44,2017-07-05,"PETIT LARCENY",40.84006,-73.91724
"107",982648,1603370,40,2009-01-07,"GRAND LARCENY OF MOTOR VEHICLE",40.81728,-73.90648
"108",213138,4658396,122,2015-02-15,"PETIT LARCENY",40.565,-74.10228
"109",945471,6189022,79,2018-05-05,"OFF. AGNST PUB ORD SENSBLTY &",40.68089,-73.94487
"110",576416,3790017,14,2013-05-12,"ASSAULT 3 & RELATED OFFENSES",40.75664,-73.98837
"111",896525,386436,47,2006-09-24,"HARRASSMENT 2",40.873331103,-73.846472226
"112",67678,6482844,71,2018-12-11,"HARRASSMENT 2",40.65572,-73.94526
"113",76783,6635574,42,2019-04-17,"ASSAULT 3 & RELATED OFFENSES",40.83899,-73.885
"114",419486,940905,75,2007-10-06,"FELONY ASSAULT",40.649518456,-73.880718143
"115",137646,982693,47,2007-11-02,"GRAND LARCENY OF MOTOR VEHICLE",40.87887,-73.85225
"116",745874,1562464,25,2008-12-07,"RAPE",40.80069,-73.94111
"117",660069,7252644,42,2020-09-19,"FELONY ASSAULT",40.82566,-73.90807
"118",148211,2436048,81,2010-08-24,"CRIMINAL MISCHIEF & RELATED OF",40.68226,-73.91987
"119",302759,3038442,94,2011-11-05,"GRAND LARCENY",40.71701,-73.95862
"120",51341,3488783,88,2012-09-21,"GRAND LARCENY",40.68336,-73.97487
"121",266846,7224936,123,2020-08-27,"GRAND LARCENY",40.55467,-74.17561
"122",189407,4174331,115,2014-02-17,"HARRASSMENT 2",40.74769,-73.88347
"123",754713,2903456,60,2011-07-30,"MURDER & NON-NEGL. MANSLAUGHTER",40.57765,-73.99688
"124",15654,953825,71,2007-10-15,"ROBBERY",40.65618,-73.95161
"125",232506,1222042,114,2008-04-19,"GRAND LARCENY OF MOTOR VEHICLE",40.76759,-73.91089
"126",517688,2229304,101,2010-04-04,"OFFENSES AGAINST PUBLIC ADMINI",40.59578,-73.74394
"127",940275,6752082,106,2019-07-16,"HARRASSMENT 2",40.67212,-73.82428
"128",807800,723902,105,2007-05-18,"CRIMINAL MISCHIEF & RELATED OF",40.697082841,-73.745548131
"129",162103,1949460,40,2009-09-10,"DANGEROUS DRUGS",40.81843,-73.92229
"130",555358,903166,69,2007-09-12,"CRIMINAL MISCHIEF & RELATED OF",40.647134377,-73.893039504
"131",768095,4998464,30,2015-10-24,"GRAND LARCENY OF MOTOR VEHICLE",40.82583,-73.95301
"132",996418,6249920,90,2018-06-19,"ASSAULT 3 & RELATED OFFENSES",40.71067,-73.94629
"133",862526,3902208,121,2013-07-31,"CRIMINAL TRESPASS",40.62369,-74.15066
"134",511648,318159,43,2006-08-09,"BURGLARY",40.82506399,-73.877397261
"135",679425,6898101,90,2019-11-05,"PETIT LARCENY",40.70554,-73.94291
"136",578869,4497619,46,2014-10-06,"ASSAULT 3 & RELATED OFFENSES",40.85454,-73.8984
"137",272534,5041925,75,2015-11-26,"OFF. AGNST PUB ORD SENSBLTY &",40.66358,-73.89129
"138",490353,7249810,114,2020-09-16,"PETIT LARCENY",40.76619,-73.93682
"139",23001,2736663,107,2011-04-04,"HARRASSMENT 2",40.72994,-73.81043
"140",515292,2399868,61,2010-07-30,"PETIT LARCENY",40.60198,-73.93833
"141",402917,5518436,47,2016-11-23,"HARRASSMENT 2",40.89154,-73.84313
"142",929606,4970787,63,2015-10-03,"CRIMINAL MISCHIEF & RELATED OF",40.62967,-73.92412
"143",201494,4123943,23,2014-01-08,"HARRASSMENT 2",40.79679,-73.9394
"144",14141,6399098,106,2018-10-07,"FELONY ASSAULT",40.68611,-73.8246
"145",399649,1273046,9,2008-05-25,"PETIT LARCENY",40.73039,-73.98638
"146",645642,6241220,73,2018-06-13,"HARRASSMENT 2",40.66514,-73.90772
"147",779641,327739,66,2006-08-16,"HARRASSMENT 2",40.644195312,-73.976135883
"148",70599,3963309,106,2013-09-12,"PETIT LARCENY",40.66633,-73.85034
"149",37421,5372356,83,2016-08-06,"FELONY ASSAULT",40.68571,-73.9154
"150",662117,4807254,69,2015-06-10,"HARRASSMENT 2",40.64295,-73.90899
"151",988060,4652317,61,2015-02-10,"OFF. AGNST PUB ORD SENSBLTY &",40.60083,-73.97029
"152",731041,849566,23,2007-08-08,"OFFENSES RELATED TO CHILDREN",40.793668119,-73.941689734
"153",756591,7367749,111,NA,"CRIMINAL MISCHIEF & RELATED OF",40.76496,-73.77072
"154",919889,5937668,43,2017-10-15,"GRAND LARCENY",40.8097,-73.85833
"155",160856,1393122,18,2008-08-12,"OFFENSES INVOLVING FRAUD",40.76235,-73.98235
"156",294620,7041821,9,2020-03-05,"FELONY ASSAULT",40.72886,-73.99103
"157",872586,5812934,46,2017-07-15,"ASSAULT 3 & RELATED OFFENSES",40.8578,-73.89777
"158",755227,548311,75,2007-01-13,"DANGEROUS DRUGS",40.680868071,-73.864679235
"159",95179,4678442,66,2015-03-04,"GRAND LARCENY",40.63476,-73.99241
"160",472087,3073692,23,2011-12-01,"ASSAULT 3 & RELATED OFFENSES",40.78946,-73.94174
"161",673011,1826071,47,2009-06-18,"DANGEROUS WEAPONS",40.8916,-73.8567
"162",959548,2317371,41,2010-06-04,"DANGEROUS DRUGS",40.81951,-73.89789
"163",218227,1296189,84,2008-06-10,"PETIT LARCENY",40.68982,-73.98323
"164",74390,4658836,41,2015-02-15,"SEX CRIMES",40.81639,-73.8953
"165",226890,1243807,41,2008-05-05,"DANGEROUS DRUGS",40.82327,-73.88808
"166",769155,6683536,14,2019-05-25,"PETIT LARCENY",40.75886,-73.98862
"167",106512,3546676,109,2012-11-03,"CRIMINAL MISCHIEF & RELATED OF",40.75854,-73.8014
"168",733575,2531702,84,2010-10-28,"HARRASSMENT 2",40.68863,-73.98314
"169",591397,1474010,45,2008-10-05,"GRAND LARCENY OF MOTOR VEHICLE",40.8206,-73.80898
"170",677779,3390356,44,2012-07-15,"VEHICLE AND TRAFFIC LAWS",40.84143,-73.92867
"171",568316,3214869,24,2012-03-15,"ADMINISTRATIVE CODE",40.80233,-73.96613
"172",724194,1103841,14,2008-01-27,"CRIMINAL MISCHIEF & RELATED OF",40.7503,-73.99671
"173",820499,6501155,112,2018-12-24,"PETIT LARCENY",40.72093,-73.86594
"174",224809,3778516,1,2013-05-04,"GRAND LARCENY OF MOTOR VEHICLE",40.71553,-74.01667
"175",372051,3381862,24,2012-07-10,"DANGEROUS DRUGS",40.79657,-73.96719
"176",862252,5198793,67,2016-03-31,"ASSAULT 3 & RELATED OFFENSES",40.66008,-73.91896
"177",113865,3883628,10,2013-07-18,"GRAND LARCENY",40.74106,-73.99786
"178",51933,2468640,108,2010-09-15,"ROBBERY",40.75159,-73.94474
"179",864333,255762,63,2006-06-29,"GRAND LARCENY",40.62407482,-73.919225932
"180",641676,5401203,48,2016-08-26,"OFFENSES AGAINST PUBLIC ADMINI",40.84331,-73.87776
"181",30179,5463249,121,2016-10-12,"PETIT LARCENY",40.5823,-74.16894
"182",811866,1381185,46,2008-08-05,"MISCELLANEOUS PENAL LAW",40.85214,-73.92238
